,Arica y Parinacota,Tarapaca,Antofagasta,Atacama,Coquimbo,Valparaiso,Metropolitana,OHiggins,Maule,Nuble,Biobio,Araucania,Los Rios,Los Lagos,Aysen,Magallanes,Total
3/22/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3/23/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/24/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3/25/2020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
3/26/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3/27/2020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
3/28/2020,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3/29/2020,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3/30/2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
3/31/2020,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,4
4/1/2020,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,4
4/2/2020,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2
4/3/2020,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,4
4/4/2020,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,5
4/5/2020,0,0,0,0,0,0,1,0,0,1,0,4,0,1,0,0,7
4/6/2020,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,3
4/7/2020,0,0,1,0,0,0,2,0,1,1,0,0,1,0,0,0,6
4/8/2020,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,1,5
4/9/2020,0,0,0,0,0,0,7,0,0,1,0,1,0,0,0,0,9
4/10/2020,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8
4/11/2020,0,0,0,0,0,0,3,0,1,0,0,1,0,3,0,0,8
4/12/2020,1,0,0,0,0,0,3,0,0,1,0,0,1,0,0,1,7
4/13/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2
4/14/2020,0,0,0,0,0,0,4,0,1,1,0,3,0,0,0,1,10
4/15/2020,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2
4/16/2020,0,0,0,0,0,2,7,0,0,2,0,0,0,0,0,0,11
4/17/2020,1,0,0,0,0,0,3,0,3,1,1,1,0,1,0,0,11
4/18/2020,0,0,0,0,0,0,7,0,1,1,0,1,0,0,0,0,10
4/19/2020,0,0,0,0,0,1,5,0,0,1,0,0,0,0,0,0,7
4/20/2020,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,6
4/21/2020,0,0,0,0,0,1,2,1,0,0,1,2,0,0,0,1,8
4/22/2020,0,0,1,0,0,1,9,0,0,0,1,1,0,0,0,0,13
4/23/2020,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,8
4/24/2020,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,6
4/25/2020,0,1,1,0,0,1,3,0,0,0,0,1,0,0,0,0,7
4/26/2020,0,0,1,0,0,0,2,0,1,0,1,2,0,0,0,1,8
4/27/2020,0,0,0,0,0,0,4,0,1,0,0,3,0,0,0,1,9
4/28/2020,0,0,0,0,0,1,5,0,0,0,1,0,1,1,0,0,9
4/29/2020,1,0,0,0,0,2,4,0,1,0,0,0,0,0,0,1,9
4/30/2020,0,0,1,0,0,0,6,0,0,0,0,3,0,1,0,0,11
5/1/2020,0,0,2,0,0,0,4,0,0,0,0,1,0,0,0,0,7
5/2/2020,0,0,0,0,0,1,8,2,0,2,0,0,0,0,0,0,13
5/3/2020,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,13
5/4/2020,0,0,0,0,0,0,8,0,0,1,1,0,0,0,0,0,10
5/5/2020,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,5
5/6/2020,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,6
5/7/2020,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,4
5/8/2020,0,0,2,0,0,1,5,0,0,1,0,0,0,0,0,0,9
5/9/2020,0,0,1,0,0,1,6,0,1,0,0,0,1,0,0,0,10
5/10/2020,0,0,0,0,1,1,3,0,0,0,0,1,0,0,0,2,8
5/11/2020,1,0,0,0,0,1,6,1,0,0,0,1,0,0,0,1,11
5/12/2020,0,0,0,0,0,2,6,0,0,1,1,1,0,1,0,0,12
5/13/2020,0,0,1,0,0,1,6,0,0,0,0,0,1,0,0,2,11
5/14/2020,0,0,0,0,0,1,18,0,0,1,0,2,0,0,0,0,22
5/15/2020,0,1,1,0,0,2,19,1,0,0,0,2,0,0,0,0,26
5/16/2020,0,0,0,0,1,1,25,0,0,0,0,0,0,0,0,0,27
5/17/2020,0,2,1,0,0,1,24,0,0,0,0,1,0,0,0,0,29
5/18/2020,0,0,1,0,0,1,24,1,0,1,0,0,0,0,0,0,28
5/19/2020,0,0,2,0,0,2,24,1,0,0,0,0,0,1,0,1,31
5/20/2020,0,0,1,0,0,3,30,0,0,0,0,0,0,0,0,1,35
5/21/2020,0,0,0,0,0,3,40,0,1,0,0,0,0,1,0,0,45
5/22/2020,0,1,0,0,0,2,35,1,0,0,1,1,0,0,0,0,41
5/23/2020,0,0,4,0,0,4,32,3,0,0,0,0,0,0,0,0,43
5/24/2020,0,2,0,0,0,4,39,0,0,0,0,0,0,0,0,0,45
5/25/2020,0,0,0,0,0,5,35,2,0,1,0,0,0,0,0,0,43
5/26/2020,0,1,2,0,0,4,38,0,0,0,0,0,0,0,0,0,45
5/27/2020,0,3,2,0,0,1,28,1,0,0,0,0,0,0,0,0,35
5/28/2020,0,1,3,0,0,2,43,0,0,0,0,0,0,0,0,0,49
5/29/2020,0,2,0,0,0,1,47,0,0,0,1,2,0,0,0,1,54
5/30/2020,0,4,1,0,0,2,43,2,0,1,0,0,0,0,0,0,53
5/31/2020,0,3,2,0,0,3,47,2,0,0,0,0,0,0,0,0,57
6/1/2020,1,1,1,0,0,4,49,0,2,0,0,0,1,0,0,0,59
6/2/2020,0,1,2,0,0,2,70,0,0,0,0,0,0,0,0,0,75
6/3/2020,0,5,2,0,2,5,67,2,2,1,0,0,1,0,0,0,87
6/4/2020,0,0,2,0,0,1,73,1,2,0,2,0,0,0,0,0,81
6/5/2020,1,0,4,0,1,10,71,1,3,0,0,1,0,0,0,0,92
6/6/2020,0,2,5,0,0,3,79,3,0,0,0,1,0,0,0,0,93
6/7/2020,-1,5,-3,0,-1,-8,700,-5,-6,-6,-2,-18,0,-1,0,-5,649
6/8/2020,0,0,1,0,1,2,66,2,0,0,0,1,0,0,0,1,74
6/9/2020,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,19
6/10/2020,2,11,11,0,1,14,147,3,0,2,0,1,0,0,0,0,192
6/11/2020,0,0,1,0,1,8,158,2,1,0,1,1,0,0,0,0,173
6/12/2020,0,2,8,0,0,11,195,2,0,0,2,1,1,0,0,0,222
6/13/2020,0,4,2,0,1,2,213,2,1,2,2,1,0,1,0,0,231
6/14/2020,1,6,5,0,2,5,197,1,3,0,2,0,0,0,0,0,222
6/15/2020,0,0,0,0,0,1,35,2,0,0,1,0,0,0,0,0,39
6/16/2020,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,21
6/17/2020,0,9,9,0,2,15,180,6,1,2,6,0,1,1,0,0,232
6/18/2020,1,1,6,0,3,2,205,3,1,0,3,1,0,0,0,0,226
6/19/2020,0,3,6,0,1,7,226,2,2,1,3,1,0,0,0,0,252
6/20/2020,0,8,1,1,0,8,170,4,5,2,1,1,0,1,0,0,202
6/21/2020,0,1,6,1,1,12,155,2,1,1,2,0,0,2,0,0,184
6/22/2020,0,0,0,0,0,0,22,0,0,0,1,0,0,0,0,0,23
6/23/2020,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
6/24/2020,3,4,13,0,1,17,170,7,3,1,5,1,0,1,0,0,226
6/25/2020,1,1,9,0,4,8,141,4,0,1,2,0,0,1,0,0,172
6/26/2020,3,0,6,0,1,9,136,2,3,1,3,0,0,1,0,0,165
6/27/2020,1,3,14,0,0,13,242,3,2,0,1,0,0,0,0,0,279
6/28/2020,0,3,5,0,0,12,127,1,7,1,4,1,0,1,0,0,162
6/29/2020,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,66
6/30/2020,0,0,0,0,0,1,112,0,0,0,0,0,0,0,0,0,113
7/1/2020,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,65
7/2/2020,1,4,16,0,1,22,101,8,5,1,8,0,0,0,0,0,167
